,text
129,"54 minutes ago
Macri
48K
#AcuerdoconelFMI
Congreso
83K
#AlmacenDeZurdos
#ElPeorPresidenteDeLaHistoria
Guzmán
30K
#YoEscuchoLOS40
Lizy
#LaLetraChica
Fondo Monetario Internacional
President Vladimir Putin 
Dr Maria Harriet Stack https://t.co/Txn7Bv9G1Q"
130,#AcuerdoconelFMI 🤝#DeudaMacrista https://t.co/6hSvI3nz2E https://t.co/dMW5C4ylYq
131,"Ah ahora me vas a decir que no son Feministas Peronistas y pañuelos verdes... 😁
#AcuerdoconelFMI #Mentiroso #Caradura #ElPeorPresidenteDeLaHistoria"
132,"#AcuerdoconelFMI | «No vamos a oponernos a las medidas siempre que no perjudiquen a la producción», afirmó el diputado nacional de Juntos por el Cambio + respecto al acuerdo del Gobierno nacional con el organismo multilateral. @BuufoSalta

https://t.co/ntJZmqGDMs"
133,#AcuerdoconelFMI https://t.co/dTw9RDX1gz
134,"@juntoscambioar Durante más de un mes, personajes del gobierno dieron señales de que no acordaríamos. Bajaron acciones y bonos. No las habrán comprado ellos mismos y ahora se aprovechan de la mejora de la cotización, al lograr el #AcuerdoconelFMI Sospechoso!!! #FMI"
135,"Ni olvido ni perdón @lauritalonso 
#AcuerdoconelFMI https://t.co/rjwk9B2RdE"
136,"#AcuerdoconelFMI | El mandatario salteño Gustavo Sáenz «celebró» el acuerdo logrado entre el Gobierno Nacional y el Fondo Monetario Internacional. Dijo que es «fruto del diálogo constructivo».

https://t.co/y1MS9FVf07"
137,"Los peronistas, Feministas y pañuelos verdes están honrando y pagando la deuda de #Macri 
Hoy giraron 700 millones.
#AcuerdoconelFMI"
138,"#AcuerdoconelFMI | «Teníamos una soga al cuello, una espada de Damocles, y ahora tenemos un camino que podemos recorrer», afirmó el presidente Alberto Fernández al anunciar el arreglo por la deuda contraída en la gestión Macri. @BuufoSalta

https://t.co/jGtCcY2CDZ"
139,"#AcuerdoconelFMI Funcionarios nacionales y dirigentes del Frente de Todos celebraron el acuerdo con el FMI
https://t.co/QEL78EkpBX https://t.co/XRc6sOxLXu"
140,"#AcuerdoConElFMI 

Desde #JuntosPorElCambio 
destacaron que se trata de ""un primer paso para no seguir sembrando incertidumbre en la sociedad""
🔽🔽🔽
https://t.co/OeSe5Pv9Np"
141,"""No volvamos al fondo"" gracias totales #AcuerdoconelFMI https://t.co/ftUyyMDHJv"
142,"El único consuelo que nos queda es que fue un feminista, peronista y pañuelo verde. 
#AcuerdoconelFMI"
143,#FMI #ElPeorPresidenteDeLaHistoria #Macri #AcuerdoconelFMI #Argentina #Sarasa #Cristina https://t.co/Giiextpx9h
144,"#AcuerdoconelFMI Bancos de capitales internacionales dijeron que el acuerdo es un ""importante y fundamental paso adelante""
https://t.co/UDwHoZHJ7U https://t.co/2TZxuLWdI1"
145,"En los negocios solo existen dos reglas: Regla número 1: nunca perder dinero. Regla número 2: nunca olvidar la regla número uno.

-- Warren Buffett 

Congreso Macri #AcuerdoconelFMI"
146,"@PatoBullrich Que ganas de una guillotina...

#PresosLosQueremos
#AcuerdoconelFMI"
147,"El #AcuerdoConElFMI es el primer paso para recuperar la confianza de los ciudadanos en un proyecto conjunto de país. Aún faltan muchos más.
Se necesita urgentemente un plan económico estable que permita eliminar la pobreza y recuperar la actividad económica y productiva."
148,@clarincom Eso quiere decir que es muy bueno el #AcuerdoconelFMI .
149,"📣Conferencia de prensa #1FMachamosALaCorte 

 🗣️ @Luis_Delia: “Es escandaloso ver que todavía hoy Rosenkrantz y Macri estén juntos de vacaciones en Villa La Angostura. Si quieren una imagen más patética de la falta de independencia de nuestra justicia es esa” 

#AcuerdoconelFMI https://t.co/ugU0AfI1uN"
150,"Dicen que toman un crédito al FMI por culpa de Macri que pidió un préstamo al FMI

👉 más caradura, hipócrita, mentiroso y pelot'udo no se consigue 

#AcuerdoconelFMI 
#LaLetraChica 
#ElPeorPresidenteDeLaHistoria 
#ElPeorGobiernoDeLaHistoria https://t.co/3lN1K01MBb"
151,"Parte de JXC sale a decir burradas del acuerdo con el FMI, la otra parte, como @jaimemendezh, se quedan callados. 

¿Saben que tienen en común los dos? Que son cómplices del peor endeudamiento de la historia del País. #EndeudamientoNuncaMas #AcuerdoconelFMI"
152,"Acuerdo razonable. Nada para celebrar en este camino de cornisa.

¿Qué parte no se entiende?

#AcuerdoconelFMI 
#Acuerdo"
153,"Fernández,  el inútil,  negociando jajajjjajaaaja Los Simpson son visionarios 
#AcuerdoconelFMI https://t.co/LN1Nq5a43w"
154,Los macristas hablando del #AcuerdoconelFMI https://t.co/zQBnrJs25j
155,"Todo bien con la historia, #PresosLosQueremos para que no se repita #NuncaMasFMI

#AcuerdoconelFMI https://t.co/iIfgbZ6hft"
156,"#Chequeado
Fue un Peronista, Feminista, Pañuelo Verde, nomino de #Cristina 
#AcuerdoconelFMI 
Firmado, la Historia. 😁"
157,"Para entender por qué el problema no es el #FMI sino la burguesía argentina que nos empobrece y ajusta con o sin acuerdo: 
https://t.co/LJoBc0a2xS
https://t.co/1LAVTJ2I8W 
https://t.co/PVu67HqA2z
https://t.co/WCPJ2CWeeI
 #AcuerdoconelFMI #AcuerdoFMI #Fondo"
158,@vtolosapaz @alferdez Las playas de Carlos Casares también entran en el #AcuerdoconelFMI ???
159,"#AcuerdoconelFMI: un período de gracia, a cambio de una fuerte reducción del déficit y de la emisión. ✍🏼 @alfondevil. https://t.co/73Ryco8yJQ https://t.co/LRWpnlkw2B"
160,"Uuufff q alivio, Juntos y sus perritos falderos de la UCR dan el visto bueno... Q a nadie se le ocurra una miradita o un chiste en el Congreso, xq se enojan y se van sin votar... #AcuerdoconelFMI https://t.co/gRVMWWRSqB"
161,"El mentiroso de @alferdez te dijo que te iba a ""llenar la heladera"" ahora te dice que van a hacer un #AcuerdoconelFMI sin presupuesto y sin proyecto económico...

No sé...
Ustedes le creen? https://t.co/NRBm8UPSao"
162,#FelizViernesATodos #teleticket #NoMoneyNoOfficialTest #MiAniversarioDeTwitter #MiercolesEnLOS40 #YoEscuchoLOS40 #almacendezurdos #AcuerdoconelFMI No. No LOS ODIO #BellLetsTalk El 30 Preso Paga #NeymarNaNetflix #PINTOSAWARDS Barbara #LaSoleEnCosquin Sara  https://t.co/bLzD8OVJU9
163,"#ElPeorPresidenteDeLaHistoria anuncia con bombos y platillos el #AcuerdoconelFMI 
Inimaginable es la cogida que nos pegaron. Cómo la de @luanavolnovich a todos los viejos del @PAMI_org_ar"
164,"#AcuerdoconelFMI 

Gorilas hoy ssssshhhhhhhhhhh https://t.co/F4MC8h0ZR2"
165,"Memoria y justicia respecto a la estafa del macrismo. 
Se fugaron un FMI... Vamos argentina, este acuerdo es el mejor acuerdo posible
#AcuerdoconelFMI"
166,"Kuka... podes investigar la Deuda

Pedi q sigan las causas contra Cristina para ver donde estan los 2PBI que se choreo y generaron deuda + deficit fiscal

#AcuerdoConElFMI 
Macri
Guzman
#ElPeorGobiernoDeLaHistoria 
Alberso #ElPeorPresidenteDeLaHistoria"
167,"#PresosLosQueremos
#AcuerdoconelFMI https://t.co/dN4gPqwEjg"
